P,N,Word,Color,Congruency,Response,Accuracy,RT,Orientation,Accuracy2,RT2,Task
1,37,4,4,1,109,1,1.02129159998731,0,0,0,Test
1,38,2,3,0,110,1,0.95786880000378005,1,1,0.78181063570082199,Test
1,39,1,4,0,109,1,1.0624690999975399,1,1,8.9640207999909798,Test
1,40,5,2,2,120,1,0.96958843569154896,0,0,0,Test
1,41,1,1,1,122,1,1.1049926999840001,1,1,0.79334009997546695,Test
1,42,5,3,2,110,1,0.76561979998950902,2,1,0.51529899999150097,Test
1,43,4,1,0,122,1,1.16963023570133,0,0,0,Test
1,44,5,3,2,110,1,1.03690363571513,0,0,0,Test
1,45,1,2,0,120,1,0.87405879999278102,0,0,0,Test
1,46,4,4,1,109,1,0.81702049999148596,1,1,0.58379340000101398,Test
1,47,5,3,2,122,0,1.14777063569636,2,1,0.52326943571097195,Test
1,48,2,2,1,120,1,0.87051293571130395,1,1,0.48216333569143899,Test
1,49,3,1,0,122,1,1.1056165000191001,2,1,0.53215660707792301,Test
1,50,2,2,1,122,0,0.89086363569367699,2,1,0.49859783571446298,Test
1,51,3,3,1,110,1,0.72233369998866703,2,1,0.49160290000145301,Test
1,52,5,4,2,109,1,0.78908793570008096,2,1,0.48558033572044201,Test
1,53,4,1,0,122,1,1.3638358357129601,1,1,0.48941949999425599,Test
1,54,3,3,1,110,1,0.79438949999166697,0,0,0,Test
1,55,1,1,1,122,1,1.0786463356926099,0,0,0,Test
1,56,4,4,1,109,1,0.77504713571397599,2,1,0.37327839998761198,Test
1,57,5,3,2,110,1,0.92858890001662098,0,0,0,Test
1,58,3,2,0,120,1,1.0546548000129401,0,0,0,Test
1,59,4,4,1,109,1,0.72851019998779498,1,1,0.66740929998923104,Test
1,60,2,1,0,122,1,0.94767609998234603,0,0,0,Test
1,61,5,3,2,110,1,0.73498293568263795,1,1,0.49550293569336601,Test
1,62,3,4,0,109,1,1.02802953569335,2,1,1.0175852999964301,Test
1,63,5,2,2,120,1,0.88032470000325702,2,1,0.60396050001145296,Test
1,64,2,4,0,109,1,0.66835210000863299,1,1,0.37521003567962902,Test
1,65,5,1,2,122,1,0.88740070001222204,1,1,0.39338423570734499,Test
1,66,2,2,1,120,1,0.83813640000880696,0,0,0,Test
1,67,5,3,2,0,0,0,1,1,0.59339219998219095,Test
1,68,1,4,0,109,1,0.82805770001141399,2,1,0.47800999999162702,Test
1,69,3,2,0,120,1,1.03392650000751,2,1,0.56502099998761002,Test
1,70,5,1,2,110,0,1.25303480000002,1,1,0.497950735705672,Test
1,71,2,2,1,120,1,0.91340960000525195,2,1,0.50345243568881404,Test
1,72,5,1,2,110,0,0.76765560000785604,0,0,0,Test
1,73,4,4,1,109,1,0.98690839999471802,0,0,0,Test
1,74,2,3,0,110,1,1.2605065999960099,1,1,0.43428950000088701,Test
1,75,1,4,0,109,1,0.91025993571383901,1,1,0.57958169997436904,Test
1,76,5,2,2,120,1,0.83735929999966197,0,0,0,Test
1,77,1,1,1,122,1,0.96515250002266795,1,1,0.68627050000941403,Test
1,78,5,3,2,110,1,1.19861270001275,2,1,0.50713953570811998,Test
1,79,4,1,0,122,1,1.1336826999904599,0,0,0,Test
1,80,5,3,2,110,1,1.1138093000045,0,0,0,Test
1,81,1,2,0,120,1,1.0255523000087099,0,0,0,Test
1,82,4,4,1,109,1,0.82715163569082495,1,1,0.52296019968343899,Test
1,83,5,3,2,122,0,1.3042575357249,2,1,0.73037533569731805,Test
1,84,2,2,1,120,1,1.0249408000090601,1,1,0.49008690001210198,Test
1,85,3,1,0,122,1,1.1424010999908201,2,1,0.42005150709883299,Test
1,86,2,2,1,120,1,0.91191450000042096,2,1,0.49806739998166499,Test
1,87,3,3,1,110,1,0.81203840000671301,2,1,0.52072240001871295,Test
1,88,5,4,2,109,1,0.69963379998807795,2,1,0.45315169999957999,Test
1,89,4,1,0,122,1,1.1406759000092299,1,1,0.47722309999517198,Test
1,90,3,3,1,110,1,0.74291279999306403,0,0,0,Test
1,91,1,1,1,122,1,0.82084610001766101,0,0,0,Test
1,92,4,4,1,109,1,0.74486053569125898,2,1,0.80989390000468098,Test
1,93,5,3,2,110,1,0.73342679999768701,0,0,0,Test
1,94,3,2,0,120,1,0.54307250000420004,0,0,0,Test
1,95,4,4,1,109,1,0.52275100001134001,1,1,0.87599483571830195,Test
1,96,2,1,0,122,1,0.48116733570350301,0,0,0,Test
1,97,5,3,2,110,1,0.857349235709989,1,1,0.54875325690954901,Test
1,98,3,4,0,120,0,0.63896959999692604,2,1,0.46811263568815797,Test
1,99,5,2,2,120,1,1.5842269000131599,2,1,0.654074407066219,Test
1,100,2,4,0,109,1,1.15612669999246,1,1,0.617599821212934,Test
1,101,5,1,2,122,1,1.27488729998004,1,1,0.50811500000418197,Test
1,102,2,2,1,110,0,0.66757863567909204,0,0,0,Test
1,103,5,3,2,110,1,1.50550860000658,1,1,0.42408989998511998,Test
1,104,1,4,0,109,1,0.85522080000373502,2,1,0.45460500000626802,Test
1,105,3,2,0,120,1,0.785765799984802,2,1,0.88619133571046405,Test
1,106,5,1,2,122,1,0.91792050001095105,1,1,0.47392973539535899,Test
1,107,2,2,1,120,1,1.06031800000346,2,1,0.49725200000102598,Test
1,108,5,1,2,122,1,1.2214379357173999,0,0,0,Test
1,109,4,4,1,109,1,0.81677380000473898,0,0,0,Test
1,110,2,3,0,110,1,0.78076380002312396,1,1,0.59288820001529496,Test
1,111,1,4,0,109,1,0.72884440000052597,1,1,0.47960983568918902,Test
1,112,5,2,2,120,1,0.92234123570961002,0,0,0,Test
1,113,1,1,1,122,1,1.51985479998984,1,1,0.55718163569690704,Test
1,114,5,3,2,110,1,0.781041000009282,2,1,0.53386052828864194,Test
1,115,4,1,0,122,1,1.12838710000506,0,0,0,Test
